IPERC - Library ID,Title,Cantidad Referencia,Level,IPERC - L2,IPERC- L1,Descrpción,IPERC - L2 (No eliminar),IPERC- L1 (No eliminar),IPERC - Matrix (Peligros),IPERC - Matrix 4 (Riesgos),IPERC - Matrix (Consecuencias),IPERC - Matrix (Probabilidad),IPERC - Matrix (Nivel de Riesgo),IPERC - Matrix (Consecuencias) copy,IPERC - Matrix (Probabilidad) copy
Probable,Probable,"4,0",L3,Probabilidad,Probabilidad,,,,,,,"Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Revoque Proyectado con Bomba Mezcladora - 6 Durante las tareas anteriores,Construcción de Columnas de Hormigón Armado - 1  Doblado de Hierros,Construcción de Columnas de Hormigón Armado - 1 Corte de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros (columna armada),Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Columnas de Hormigón Armado - 4 Carga de Hormigón,Construcción de Columnas de Hormigón Armado - 5 Durante las tareas anteriores,Construcción de Columnas de Hormigón Armado - 5 Durante las tareas anteriores,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 2 Izaje de Viguetas pretensadas y material aligerante,Construcción de Losas con Viguetas Pretensadas - 3 Disposición de los materiales en losa,Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Corte de Hierros),Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Doblado de Hierros),Construcción de Losas con Viguetas Pretensadas - 5 Carga de Hormigón,Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 2 Traslado de materiales,Construcción de Muro de Mampostería - 2 Traslado de materiales,Construcción de Muro de Mampostería - 3 Preparación de Mortero,Construcción de Muro de Mampostería - 3 Preparación de Mortero,Construcción de Muro de Mampostería - 4 Mezcla en Hormigonera,Construcción de Muro de Mampostería - 5 Corte de ladrillos,Construcción de Muro de Mampostería - 6 Corte de Varillas de Hierro,Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Construcción de Muro de Mampostería - 8 Durante las tareas anteriores,Construcción de Muro de Mampostería - 8 Durante las tareas anteriores,Construcción de Piscinas - 1 Remoción de Tierra,Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 1 Remoción de tierra,Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 2 Perfilado de excavación,Excavación menor a 1.50 m - 2 Perfilado de excavación,Excavación menor a 1.50 m - 6 Perforación para Anclajes,Fundaciones - 3 Preparación de Armadura,Fundaciones - 3 Preparación de Armadura,Fundaciones - 5 Colocación de Armadura,Fundaciones - 5 Colocación de Armadura,Fundaciones - 6 Carga de Hormigón,Fundaciones - 6 Carga de Hormigón,Hidrófugo en bases - 1 Preparación del Hidrófugo,Hidrófugo en bases - 2 Aplicación del Hidrófugo ,Hidrófugo en bases - 3 Agregado del Hidrófugo,Hidrófugo en bases - 3 Agregado del Hidrófugo,Hidrófugo en bases - 4 Jornada de Trabajo,Instalación Cloacal y Pluvial - 2 Corte de cañería con Amoladora eléctrica,Instalación Cloacal y Pluvial - 3 Unión de cañerías,Instalación Cloacal y Pluvial - 4 Canalizaciones con Amoladora eléctrica,Instalación Cloacal y Pluvial - 5 Corte de cañería Termofusión,Instalación Cloacal y Pluvial - 6 Unión de cañería Termofusión con Termofusora,Instalación Cloacal y Pluvial - 7 Prueba Hidráulica de Termofusión,Relleno Compactación de Bases - 1 Colocación de capas de relleno,Relleno Compactación de Bases - 2 Distribución/Nivelación con Excavadora,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 4 Durante las tareas anteriores,Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Acnlajes y Submuración de Subsuelo - 5 Izaje y colocación de Estructuras en troneras,Acnlajes y Submuración de Subsuelo - 7 Ejecución de Anclajes – Tracción y colocación de la placa de apoyo (tensado),Acnlajes y Submuración de Subsuelo - 6 Gunitado,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 2 Cableado,Trabajos con Tensión - 2 Cableado,""Excavación de Subsuelo mayor a 1,50 m - 1 Depresión de Napas Freáticas (Todas las etapas)"",""Excavación de Subsuelo mayor a 1,50 m - 1 Depresión de Napas Freáticas (Todas las etapas)"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 3 Acopio y retiro de material excavado con camión"",""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",""Excavación de Subsuelo mayor a 1,50 m - 5 Perfilado de Submurales"",""Excavación de Subsuelo mayor a 1,50 m - 5 Perfilado de Submurales"",""Excavación de Subsuelo mayor a 1,50 m - 6 Entibado/Tablestacado "",""Excavación de Subsuelo mayor a 1,50 m - 8 Durante todas las tareas de este proceso (Derrumbe)"",Acnlajes y Submuración de Subsuelo - 1 Perforación para anclajes,Acnlajes y Submuración de Subsuelo - 1 Perforación para anclajes,Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Dobladora y Cortadora de Varillas),Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Cortadora de Varillas),Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Dobladora de Varillas),Acnlajes y Submuración de Subsuelo - 3 Colocación de Anclajes,Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia  (cemento y agua),Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia,Acnlajes y Submuración de Subsuelo - 5 Izaje y colocación de Estructuras en troneras,Acnlajes y Submuración de Subsuelo - 9 Durante todas las tareas de este proceso (Radiación UV),Acnlajes y Submuración de Subsuelo - 10 Durante todas las tareas de este proceso (Derrumbe),Acnlajes y Submuración de Subsuelo - 6 Gunitado,Acnlajes y Submuración de Subsuelo - 11 Durante todas las tareas de este proceso (Incendio),Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 2 Acopio y retiro de material excavado con camión,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Corte y Doblado de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Doblado de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 5 Colocación de Armadura de bases,Construcción de Fundaciones- Bases aisladas - 8 Durante todas las tareas de este proceso (Derrumbe),Construcción de Fundaciones- Bases aisladas - 9 Durante todas las tareas de este proceso (Incendio),Construcción de Fundaciones- Bases aisladas - 6 Carga de Hormigón de Bases,Construcción de Fundaciones- Bases aisladas - 6 Carga de Hormigón de Bases,Construcción de losas de subsuelo - 1 Excavación y Nivelación de Terreno (Espesor de losa),Construcción de losas de subsuelo - 2 Perfilado de Terreno (Espesor de losa),Construcción de losas de subsuelo - 2 Perfilado de Terreno (Espesor de losa),Construcción de losas de subsuelo - 3 Preparación de Armadura (Corte y Doblado de Varillas de Hierro),Construcción de losas de subsuelo - 3 Preparación de Armadura (Doblado de Varillas de Hierro),Construcción de losas de subsuelo - 3 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de losas de subsuelo - 4 Colocación de Armadura,Construcción de losas de subsuelo - 5 Carga de Hormigón,Construcción de losas de subsuelo - 5 Carga de Hormigón,Construcción de losas de subsuelo - 6 Durante todas las tareas de este proceso (Radiación UV),Construcción de losas de subsuelo - 7 Durante todas las tareas de este proceso (Incendio),Construcción de losas de subsuelo - 4 Colocación de Armadura,Construcción de losas en Altura - 1 Armado de Encofrado ,Construcción de losas en Altura - 1 Armado de Encofrado ,Construcción de losas en Altura - 3 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Construcción de losas en Altura - 3 Preparación de Armadura (Doblado de Varillas de Hierro),Construcción de losas en Altura - 3 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de losas en Altura - 5 Colocación de armadura,Construcción de losas en Altura - 5 Colocación de armadura,Construcción de losas en Altura - 2 Encofrado de losa,Construcción de losas en Altura - 2 Encofrado de losa,Construcción de losas en Altura - 7 Carga de Hormigón de losa,Construcción de losas en Altura - 7 Carga de Hormigón de losa,Construcción de losas en Altura - 4 Manipulación e Izaje de varillas de Hierro,Construcción de losas en Altura - 4 Manipulación e Izaje de varillas de Hierro,Construcción de losas en Altura - 9 Durante todas las tareas de este proceso (Incendio),Construcción de losas en Altura - 6 Cierres y terminaciones de encofrados de losa,Construcción de losas en Altura - 6 Cierres y terminaciones de encofrados de losa,Construcción de Columnas - 1 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Construcción de Columnas - 1 Preparación de armadura (Corte de Varillas de Hierro),Construcción de Columnas - 1 Preparación de armadura (Doblado de Varillas de Hierro),Construcción de Columnas - 3 Colocación de Armadura y Separadores,Construcción de Columnas - 3 Colocación de Armadura y Separadores,Construcción de Columnas - 4 Armado de Encofrado ,Construcción de Columnas - 4 Armado de Encofrado,Construcción de Columnas - 2 Manipulación e Izaje de varillas de Hierro,Construcción de Columnas - 2 Manipulación e Izaje de varillas de Hierro,""Construcción de Columnas - 5 Encofrado, aseguramiento y nivelación"",""Construcción de Columnas - 5 Encofrado, aseguramiento y nivelación"",Construcción de Columnas - 6 Carga de Hormigón,Construcción de Columnas - 6 Carga de Hormigón,Construcción de Columnas - 7 Durante todas las tareas de este proceso (Radiación UV),Construcción de Columnas - 8 Durante todas las tareas de este proceso (Incendio), - 7 Durante todas las tareas de este proceso (Radiación UV), - 8 Durante todas las tareas de este proceso (Incendio), - 1 Armado de Tirantes de madera para Defensas, - 3 Traslado e Izaje de Tirantes de Defensas, - 3 Instalación de Tirantes de Defensas, - 2 Traslado e Izaje de Tirantes de Defensas, - 4 Pintura de Fenólicos, - 4 Pintura de Fenólicos, - 6 Cierres y terminaciones de Defensas, - 5 Colocación de Fenólicos, - 5 Colocación de Fenólicos, - 6 Cierres y terminaciones de Defensas, - 1 Armado de Tirantes de madera para Defensas,Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y Colocación de marcos de Madera (parte inferior),Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y colocación de marcos de Madera (Parte inferior),Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y colocación de marcos de Madera (Parte superior),Montaje de Paneles y aberturas de Vidrio - 2 Posicionamiento camión (transporte de paneles de vidrio),Montaje de Paneles y aberturas de Vidrio - 3 Preparación de la hidrogrúa para Izaje,Montaje de Paneles y aberturas de Vidrio - 4 Sujeción de paneles de vidrio con ventosas",,,"Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Revoque Proyectado con Bomba Mezcladora - 6 Durante las tareas anteriores,Construcción de Columnas de Hormigón Armado - 1  Doblado de Hierros,Construcción de Columnas de Hormigón Armado - 1 Corte de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros (columna armada),Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Columnas de Hormigón Armado - 4 Carga de Hormigón,Construcción de Columnas de Hormigón Armado - 5 Durante las tareas anteriores,Construcción de Columnas de Hormigón Armado - 5 Durante las tareas anteriores,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 2 Izaje de Viguetas pretensadas y material aligerante,Construcción de Losas con Viguetas Pretensadas - 3 Disposición de los materiales en losa,Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Corte de Hierros),Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Doblado de Hierros),Construcción de Losas con Viguetas Pretensadas - 5 Carga de Hormigón,Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 2 Traslado de materiales,Construcción de Muro de Mampostería - 2 Traslado de materiales,Construcción de Muro de Mampostería - 3 Preparación de Mortero,Construcción de Muro de Mampostería - 3 Preparación de Mortero,Construcción de Muro de Mampostería - 4 Mezcla en Hormigonera,Construcción de Muro de Mampostería - 5 Corte de ladrillos,Construcción de Muro de Mampostería - 6 Corte de Varillas de Hierro,Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Construcción de Muro de Mampostería - 8 Durante las tareas anteriores,Construcción de Muro de Mampostería - 8 Durante las tareas anteriores,Construcción de Piscinas - 1 Remoción de Tierra,Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 1 Remoción de tierra,Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 2 Perfilado de excavación,Excavación menor a 1.50 m - 2 Perfilado de excavación,Excavación menor a 1.50 m - 6 Perforación para Anclajes,Fundaciones - 3 Preparación de Armadura,Fundaciones - 3 Preparación de Armadura,Fundaciones - 5 Colocación de Armadura,Fundaciones - 5 Colocación de Armadura,Fundaciones - 6 Carga de Hormigón,Fundaciones - 6 Carga de Hormigón,Hidrófugo en bases - 1 Preparación del Hidrófugo,Hidrófugo en bases - 2 Aplicación del Hidrófugo ,Hidrófugo en bases - 3 Agregado del Hidrófugo,Hidrófugo en bases - 3 Agregado del Hidrófugo,Hidrófugo en bases - 4 Jornada de Trabajo,Instalación Cloacal y Pluvial - 2 Corte de cañería con Amoladora eléctrica,Instalación Cloacal y Pluvial - 3 Unión de cañerías,Instalación Cloacal y Pluvial - 4 Canalizaciones con Amoladora eléctrica,Instalación Cloacal y Pluvial - 5 Corte de cañería Termofusión,Instalación Cloacal y Pluvial - 6 Unión de cañería Termofusión con Termofusora,Instalación Cloacal y Pluvial - 7 Prueba Hidráulica de Termofusión,Relleno Compactación de Bases - 1 Colocación de capas de relleno,Relleno Compactación de Bases - 2 Distribución/Nivelación con Excavadora,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 4 Durante las tareas anteriores,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 2 Cableado,Trabajos con Tensión - 2 Cableado,Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Doblado de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 5 Colocación de Armadura de bases,Construcción de Fundaciones- Bases aisladas - 6 Carga de Hormigón de Bases,Construcción de losas de subsuelo - 3 Preparación de Armadura (Doblado de Varillas de Hierro),Construcción de losas de subsuelo - 3 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de losas de subsuelo - 5 Carga de Hormigón,Construcción de losas de subsuelo - 4 Colocación de Armadura,Construcción de losas en Altura - 1 Armado de Encofrado ,Construcción de losas en Altura - 5 Colocación de armadura,Construcción de losas en Altura - 2 Encofrado de losa,Construcción de losas en Altura - 5 Colocación de armadura,Construcción de losas en Altura - 2 Encofrado de losa,Construcción de losas en Altura - 7 Carga de Hormigón de losa,Construcción de losas en Altura - 4 Manipulación e Izaje de varillas de Hierro,Construcción de losas en Altura - 9 Durante todas las tareas de este proceso (Incendio),Construcción de losas en Altura - 6 Cierres y terminaciones de encofrados de losa,Construcción de Columnas - 1 Preparación de armadura (Corte de Varillas de Hierro),Construcción de Columnas - 1 Preparación de armadura (Doblado de Varillas de Hierro),Construcción de Columnas - 3 Colocación de Armadura y Separadores,Construcción de Columnas - 3 Colocación de Armadura y Separadores,Construcción de Columnas - 4 Armado de Encofrado,Construcción de Columnas - 2 Manipulación e Izaje de varillas de Hierro,""Construcción de Columnas - 5 Encofrado, aseguramiento y nivelación"",Construcción de Columnas - 6 Carga de Hormigón,Construcción de Columnas - 7 Durante todas las tareas de este proceso (Radiación UV), - 8 Durante todas las tareas de este proceso (Incendio), - 2 Traslado e Izaje de Tirantes de Defensas, - 4 Pintura de Fenólicos, - 6 Cierres y terminaciones de Defensas, - 5 Colocación de Fenólicos, - 5 Colocación de Fenólicos,Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y Colocación de marcos de Madera (parte inferior),Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y colocación de marcos de Madera (Parte superior), - 1 Armado de Tirantes de madera para Defensas"
Contacto con los Ojos,Contacto con los Ojos,,L3,Accidentes,Riesgos,,,,,"Revoque Proyectado con Bomba Mezcladora - 3 Preparación de la Mezcla,Revoque Proyectado con Bomba Mezcladora - 5 Proyectado del material,Construcción de Muro de Mampostería - 3 Preparación de Mortero,Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia  (cemento y agua),Acnlajes y Submuración de Subsuelo - 7 Ejecución de Anclajes – Tracción y colocación de la placa de apoyo (tensado), - 4 Pintura de Fenólicos",,,,,
Contácto Térmico,Contácto Térmico,,L3,Accidentes,Riesgos,,,,,"Revoque Proyectado con Bomba Mezcladora - 6 Durante las tareas anteriores,Construcción de Columnas de Hormigón Armado - 5 Durante las tareas anteriores,Construcción de Losas con Viguetas Pretensadas - 6 Durante las tareas anteriores,Construcción de Muro de Mampostería - 8 Durante las tareas anteriores,Relleno Compactación de Bases - 4 Durante las tareas anteriores,""Excavación de Subsuelo mayor a 1,50 m - 7 Durante todas las tareas de este proceso (Radiación UV)"",Acnlajes y Submuración de Subsuelo - 9 Durante todas las tareas de este proceso (Radiación UV),Construcción de Fundaciones- Bases aisladas - 7 Durante todas las tareas de este proceso (Radiación UV),Construcción de losas de subsuelo - 6 Durante todas las tareas de este proceso (Radiación UV),Construcción de losas en Altura - 8 Durante todas las tareas de este proceso (Radiación UV),Construcción de Columnas - 7 Durante todas las tareas de este proceso (Radiación UV), - 7 Durante todas las tareas de este proceso (Radiación UV)",,,,,
Inhalación Aguda,Inhalación Aguda,,L3,Accidentes,Riesgos,,,,,,,,,,
Golpes o Cortes con Equipos Herramientas u Objetos Punzocortantes ,Golpes o Cortes con Equipos Herramientas u Objetos Punzocortantes ,,L3,Accidentes,Riesgos,,,,,"Construcción de Columnas de Hormigón Armado - 1 Corte de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Corte de Hierros),Construcción de Muro de Mampostería - 5 Corte de ladrillos,Construcción de Muro de Mampostería - 6 Corte de Varillas de Hierro,Fundaciones - 3 Preparación de Armadura,Fundaciones - 4 Preparación de Armadura,Fundaciones - 5 Colocación de Armadura,Instalación Cloacal y Pluvial - 2 Corte de cañería con Amoladora eléctrica,Instalación Cloacal y Pluvial - 5 Corte de cañería Termofusión,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 3 Terminaciones de Puntos,Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Cortadora de Varillas),Acnlajes y Submuración de Subsuelo - 1 Perforación para anclajes,Acnlajes y Submuración de Subsuelo - 5 Izaje y colocación de Estructuras en troneras,Acnlajes y Submuración de Subsuelo - 6 Gunitado,Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 5 Colocación de Armadura de bases,Construcción de losas de subsuelo - 3 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de losas de subsuelo - 4 Colocación de Armadura,Construcción de losas en Altura - 1 Armado de Encofrado ,Construcción de losas en Altura - 3 Preparación de Armadura (Corte de Varillas de Hierro),Construcción de losas en Altura - 5 Colocación de armadura,Construcción de Columnas - 1 Preparación de armadura (Corte de Varillas de Hierro),Construcción de Columnas - 3 Colocación de Armadura y Separadores,Construcción de Columnas - 4 Armado de Encofrado, - 6 Cierres y terminaciones de Defensas,Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y Colocación de marcos de Madera (parte inferior)",,,,,
Contacto Eléctrico Indirecto,Contacto Eléctrico Indirecto,,L3,Accidentes,Riesgos,,,,,,,,,,
Incendio ,Incendio ,,L3,Accidentes,Riesgos,,,,,"Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Muro de Mampostería - 1 Recepción de materiales,Acnlajes y Submuración de Subsuelo - 11 Durante todas las tareas de este proceso (Incendio),Construcción de Fundaciones- Bases aisladas - 9 Durante todas las tareas de este proceso (Incendio),Construcción de losas de subsuelo - 7 Durante todas las tareas de este proceso (Incendio),Construcción de losas en Altura - 9 Durante todas las tareas de este proceso (Incendio),Construcción de Columnas - 8 Durante todas las tareas de este proceso (Incendio), - 8 Durante todas las tareas de este proceso (Incendio)",,,,,
Caída de Persona a Distinto Nivel,Caída de Persona a Distinto Nivel,,L3,Accidentes,Riesgos,,,,,"Revoque Proyectado con Bomba Mezcladora - 5 Proyectado del material,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Losas con Viguetas Pretensadas - 3 Disposición de los materiales en losa,Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Excavación menor a 1.50 m - 2 Perfilado de excavación,Fundaciones - 5 Colocación de Armadura,Trabajos con Tensión - 1 Canalizaciones,""Excavación de Subsuelo mayor a 1,50 m - 1 Depresión de Napas Freáticas (Todas las etapas)"",""Excavación de Subsuelo mayor a 1,50 m - 5 Perfilado de Submurales"",Acnlajes y Submuración de Subsuelo - 5 Izaje y colocación de Estructuras en troneras,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de losas en Altura - 2 Encofrado de losa,Construcción de losas en Altura - 4 Manipulación e Izaje de varillas de Hierro,Construcción de losas en Altura - 6 Cierres y terminaciones de encofrados de losa,Construcción de Columnas - 2 Manipulación e Izaje de varillas de Hierro,""Construcción de Columnas - 5 Encofrado, aseguramiento y nivelación"", - 3 Instalación de Tirantes de Defensas, - 5 Colocación de Fenólicos,Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y colocación de marcos de Madera (Parte superior)",,,,,
Caída de Objetos por Desplome o Derrumbamiento,Caída de Objetos por Desplome o Derrumbamiento,,L3,Accidentes,Riesgos,,,,,"Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 2 Perfilado de excavación,""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 3 Acopio y retiro de material excavado con camión"",Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de losas en Altura - 6 Cierres y terminaciones de encofrados de losa, - 3 Traslado e Izaje de Tirantes de Defensas",,,,,
Contacto con la Piel Agudo,Contacto con la Piel Agudo,,L3,Accidentes,Riesgos,,,,,,,,,,
Exposición a Cambios Bruscos de Temperatura,Exposición a Cambios Bruscos de Temperatura,,L3,Accidentes,Riesgos,,,,,,,,,,
Exposición a Temperaturas Ambientales Extremas Aguda,Exposición a Temperaturas Ambientales Extremas Aguda,,L3,Accidentes,Riesgos,,,,,,,,,,
Choque Contra Objetos Móviles,Choque Contra Objetos Móviles,,L3,Accidentes,Riesgos,,,,,,,,,,
Contacto con el Cuerpo,Contacto con el Cuerpo,,L3,Accidentes,Riesgos,,,,,"Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Fundaciones - 3 Preparación de Armadura,Hidrófugo en bases - 1 Preparación del Hidrófugo,Hidrófugo en bases - 2 Aplicación del Hidrófugo ,Hidrófugo en bases - 3 Agregado del Hidrófugo,Hidrófugo en bases - 4 Jornada de Trabajo,Instalación Cloacal y Pluvial - 1 Zanjeo manual,Instalación Cloacal y Pluvial - 3 Unión de cañerías,Instalación Cloacal y Pluvial - 6 Unión de cañería Termofusión con Termofusora,Relleno Compactación de Bases - 3 Compactación de Superficie,Relleno Compactación de Bases - 3 Compactación de Superficie,Trabajos con Tensión - 2 Cableado,Trabajos con Tensión - 2 Cableado,""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras",,,,,
Caida al Mar/Río,Caida al Mar/Río,,L3,Accidentes,Riesgos,,,,,,,,,,
