IPERC - Library ID,Title,Cantidad Referencia,Level,IPERC - L2,IPERC- L1,Descrpción,IPERC - L2 (No eliminar),IPERC- L1 (No eliminar),IPERC - Matrix (Peligros),IPERC - Matrix 4 (Riesgos),IPERC - Matrix (Consecuencias),IPERC - Matrix (Probabilidad),IPERC - Matrix (Nivel de Riesgo),IPERC - Matrix (Consecuencias) copy,IPERC - Matrix (Probabilidad) copy
Síndromes tóxicos o inflamatorios asociados con contaminantes bacterianos o fúngicos 1.3.7.  Ántrax,Síndromes tóxicos o inflamatorios asociados con contaminantes bacterianos o fúngicos 1.3.7.  Ántrax,,L3,Factor Biológico,Peligros,,,,,,,,,,
Ofidios,Ofidios,,L3,Factor Biológico,Peligros,,,,,,,,,,
Elementos a los que potencialmente se exponen los trabajadores en las obras de construcción,Elementos a los que potencialmente se exponen los trabajadores en las obras de construcción,,L3,Factor Biológico,Peligros,,,,,,,,,,
Tétanos,Tétanos,,L3,Factor Biológico,Peligros,,,,,,,,,,
Tuberculosis,Tuberculosis,,L3,Factor Biológico,Peligros,,,,,,,,,,
Virus de la inmunodeficiencia humana (VIH),Virus de la inmunodeficiencia humana (VIH),,L3,Factor Biológico,Peligros,,,,,,,,,,
Microorganismos,Microorganismos,,L3,Factor Biológico,Peligros,,,,,,,,,,
Agentes biológicos en el trabajo no mencionados en los   puntos anteriores,Agentes biológicos en el trabajo no mencionados en los   puntos anteriores,,L3,Factor Biológico,Peligros,,,,,,,,,,
Hongo,Hongo,,L3,Factor Biológico,Peligros,,,,,,,,,,
Brucelosis,Brucelosis,,L3,Factor Biológico,Peligros,,,,,,,,,,
Bacteria,Bacteria,,L3,Factor Biológico,Peligros,,,,,,,,,,
Leptospirosis,Leptospirosis,,L3,Factor Biológico,Peligros,,,,,,,,,,
Virus,Virus,,L3,Factor Biológico,Peligros,,,,,,,,,,
Ántrax,Ántrax,,L3,Factor Biológico,Peligros,,,,,,,,,,
Moho,Moho,,L3,Factor Biológico,Peligros,,,,,,,,,,
Virus de la hepatitis,Virus de la hepatitis,,L3,Factor Biológico,Peligros,,,,,,,,,,
Otros Agentes Biológicos,Otros Agentes Biológicos,,L3,Factor Biológico,Peligros,,,,,,,,,,
Insectos,Insectos,,L3,Factor Biológico,Peligros,,,,,,,,,,
Maquinaria y Herramientas,Maquinaria y Herramientas,,L3,Factor Ergonómico,Peligros,,,,Excavación menor a 1.50 m - 6 Perforación para Anclajes,,,,,,
Manipulación manual de cargas,Manipulación manual de cargas,,L3,Factor Ergonómico,Peligros,,,,"Revoque Proyectado con Bomba Mezcladora - 2 Traslado de materiales,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Muro de Mampostería - 2 Traslado de materiales,Fundaciones - 5 Colocación de Armadura,Instalación Cloacal y Pluvial - 1 Zanjeo manual,Construcción de Fundaciones- Bases aisladas - 5 Colocación de Armadura de bases,Construcción de losas de subsuelo - 4 Colocación de Armadura,Construcción de losas en Altura - 5 Colocación de armadura,Construcción de losas en Altura - 2 Encofrado de losa,Construcción de Columnas - 3 Colocación de Armadura y Separadores,""Construcción de Columnas - 5 Encofrado, aseguramiento y nivelación"", - 2 Traslado e Izaje de Tirantes de Defensas, - 5 Colocación de Fenólicos,Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y Colocación de marcos de Madera (parte inferior)",,,,,,
Postura de trabajo forzada,Postura de trabajo forzada,,L3,Factor Ergonómico,Peligros,,,,"Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Amarre de Hierros),Construcción de Muro de Mampostería - 3 Preparación de Mortero,Trabajos con Tensión - 2 Cableado,""Excavación de Subsuelo mayor a 1,50 m - 5 Perfilado de Submurales""",,,,,,
Fuerza,Fuerza,,L3,Factor Ergonómico,Peligros,,,,"Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Acnlajes y Submuración de Subsuelo - 3 Colocación de Anclajes,Construcción de Columnas - 2 Manipulación e Izaje de varillas de Hierro",,,,,,
Trabajos prolongados a pie,Trabajos prolongados a pie,,L3,Factor Ergonómico,Peligros,,,,,,,,,,
Empuje Arrastre,Empuje Arrastre,,L3,Factor Ergonómico,Peligros,,,,Trabajos con Tensión - 2 Cableado,,,,,,
Movimientos Repetitivos,Movimientos Repetitivos,,L3,Factor Ergonómico,Peligros,,,,Construcción de losas en Altura - 4 Manipulación e Izaje de varillas de Hierro,,,,,,
Material Combustible,Material Combustible,,L3,Factor Físico,Peligros,,,,,,,,,,
